SD_ID	WES_tumor	WES_normal	RNASeq
SD0012	.	.	.
SD0014	.	.	.
SD0015	.	.	.
SD0017	.	.	.
SD0018	.	.	.
SD0023	.	.	.
SD0027	.	.	.
SD0028	.	.	.
SD0029	.	.	.
SD0030	.	.	.
SD0032	.	.	.
SD0033	.	.	.
SD0034	.	.	.
SD0037	.	.	X
SD0042	.	.	.
SD0043	.	.	.
SD0044	.	.	.
SD0045	.	.	.
SD0048	.	.	.
SD0050	.	.	.
SD0052	.	.	.
SD0053	.	.	.
SD0054	.	.	.
SD0058	.	.	.
SD0059	.	.	.
SD0060	.	.	.
SD0061	.	.	.
SD0062	.	.	.
SD0063	.	.	.
SD0066	.	.	.
SD0068	.	.	.
SD0069	.	.	X
SD0072	.	.	.
SD0074	.	.	.
SD0075	.	.	.
SD0077	.	.	.
SD0078	.	.	.
SD0079	.	.	.
SD0080	X	.	.
SD0081	.	.	.
SD0082	.	.	.
SD0083	.	.	.
SD0084	.	.	.
SD0085	.	.	X
SD0088	.	.	.
SD0089	.	.	.
SD0090	.	.	.
SD0092	.	.	.
SD0093	.	.	.
SD0096	.	.	.
SD0102	.	.	.
SD0104	.	.	.
SD0106	.	.	.
SD0108	.	.	.
SD0113	.	.	.
SD0122	.	.	.
SD0124	.	.	.
SD0126	.	.	.
SD0128	.	.	.
SD0129	.	.	.
SD0131	.	.	.
SD0133	.	.	.
SD0134	.	.	.
SD0138	.	.	.
SD0141	.	.	.
SD0142	.	.	.
SD0143	.	.	.
SD0144	.	.	.
SD0152	.	.	.
SD0155	.	.	.
SD0158	.	.	.
SD0163	.	.	.
SD0164	.	.	.
SD0171	.	.	.
SD0176	.	.	.
SD0177_Lt	.	.	.
SD0177_Rt	.	.	.
SD0181	.	.	.
SD0182	.	.	.
SD0195	.	.	.
SD0208	.	.	.
SD0214	.	.	.
SD0216	.	.	.
SD0218	.	.	.
SD0220	.	.	.
SD0221	.	.	.
SD0224	.	.	.
SD0225	.	.	.
SD0229	.	.	.
SD0231	.	.	.
SD0237	.	.	.
SD0238	.	.	.
SD0241	.	.	.
SD0247	.	.	.
SD0248	.	.	.
SD0249	.	.	.
SD0259	.	.	.
SD0260	.	.	.
SD0261	.	.	.
SD0263	.	.	.
SD0269	.	.	.
SD0270	.	.	.
SD0271	.	.	.
SD0272	.	.	.
SD0276	.	.	.
SD0278	.	.	.
SD0281	.	.	.
SD0283	.	.	.
SD0284	.	.	.
SD0287	.	.	.
SD0289	.	.	.
SD0297	.	.	.
SD0299	.	.	.
SD0303	X	.	.
SD0307	.	X	.
SD0311	.	.	.
SD0315	.	.	.
SD0316	.	.	.
SD0323	.	.	X
SD0325	.	.	.
SD0326	.	.	.
SD0328	.	.	.
SD0329	.	.	.
SD0330	.	.	.
SD0337	.	.	.
SD0339	.	.	.
SD0342	.	.	.
SD0350	.	.	.
SD0352	.	.	X
SD0354	.	.	.
SD0356	.	.	.
SD0357	.	.	.
SD0358	.	.	.
SD0360	.	.	X
SD0361	.	.	.
SD0368	.	.	.
SD0372	.	.	.
SD0373	.	.	.
SD0374	.	.	X
SD0375	.	.	.
SD0376	.	.	.
SD0377	.	.	.
SD0385	.	.	X
SD0386	.	.	X
SD0388	.	.	.
SD0389	.	.	X
SD0391	.	.	.
SD0399_Lt	.	.	.
SD0399_Rt	.	.	X
SD0403	.	.	.
SD0404	.	.	.
SD0412	.	.	X
SD0418	.	.	.
SD0419	.	.	.
SD0422	.	.	.
SD0423	.	.	.
SD0427	.	.	.
SD0432	.	.	X
SD0433	.	.	.
SD0436	.	.	.
