	Signature.1	Signature.2	Signature.13	Signature.3	Signature.8	Signature.5	Signature.18	Signature.17	Signature.6	Signature.15	Signature.20	Signature.26	Signature.30
BB01_111 0.1997032 0.1962347 0.4925798 0 0 0 0 0 0 0 0 0 0.07555937
BR255 1 0 0 0 0 0 0 0 0 0 0 0 0
BB01_103 0.166089 0.09130176 0.3869461 0.3251593 0 0 0 0 0 0 0 0 0
BB01_112 0.4939495 0.2226677 0.269756 0 0 0 0 0 0 0 0 0 0
BB01_047 0.3844633 0.316896 0.2434282 0 0 0 0 0 0 0 0 0 0
BB01_061 0.2952412 0.07642055 0.4122608 0.1679433 0 0 0 0 0 0 0 0 0
BR097 1 0 0 0 0 0 0 0 0 0 0 0 0
BB01_099 0.2603246 0 0.08516125 0.5661333 0 0 0 0 0 0 0 0.0883808 0
BB01_088 0.3369483 0.3541733 0.2470021 0 0 0 0 0 0 0 0 0 0
BB01_037 0.3776293 0 0.1000731 0.3634886 0 0 0 0 0 0.09054865 0 0 0
BR069 0.1906687 0.2109795 0.1606861 0 0.1356644 0 0 0.07729004 0 0 0 0 0.1724322
BB01_090 0.3380132 0.1789719 0.1987466 0.2678691 0 0 0 0 0 0 0 0 0
BB01_045 0.4217415 0.06788103 0.09458699 0.4157905 0 0 0 0 0 0 0 0 0
BR187 0.2416083 0.1996937 0.3918745 0.1131346 0 0 0 0 0 0 0 0 0
BR246 0.4839812 0 0.4067759 0 0 0 0 0 0 0 0 0 0
BB01_067 0.2131161 0 0.1468929 0.5390439 0 0 0 0 0 0.07315904 0 0 0
BR181 0.4265696 0.2948621 0.1600925 0 0 0 0.06397332 0 0 0 0 0 0
BB01_079 0.1243034 0 0.08554944 0.7308224 0 0 0 0 0 0 0 0 0
BR195 0.1260329 0.3270814 0.3974626 0 0 0 0 0 0 0 0 0 0.1408434
BR419 0.461811 0 0 0.4852105 0 0 0 0 0 0 0 0 0
BB01_026 0.474423 0 0.07326059 0.2783082 0 0.06398234 0.1100259 0 0 0 0 0 0
BB01_044 0.1600752 0 0 0.6814366 0 0 0 0 0 0 0 0.0809284 0
BR121 0.3595531 0 0.1274467 0.312656 0 0 0 0 0 0.1374315 0 0 0
BB01_119 0.4430967 0 0 0.5330513 0 0 0 0 0 0 0 0 0
BB01_094 0.2292912 0 0 0.6839186 0 0 0 0 0 0 0 0 0
BB01_110 0.2618196 0 0 0.5301234 0.1127141 0 0 0 0.08030641 0 0 0 0
BR067 0 0 0 0.708356 0 0 0 0 0.1247707 0 0 0 0
BR091 0.390878 0 0 0.4213842 0 0 0 0 0 0 0 0.1404609 0
BB01_027 0.9279189 0 0.07208107 0 0 0 0 0 0 0 0 0 0
BR094 0.1832339 0 0 0.7116715 0 0 0 0 0 0 0 0 0
BR393 0.3030534 0 0 0.5945298 0 0 0.07811355 0 0 0 0 0 0
BB01_074 0 0 0 0.6727387 0 0 0 0 0.1802196 0.07946476 0 0 0
BB01_006 0.07604665 0 0 0.6923039 0 0 0 0 0 0 0.155972 0 0
BR457 0.4394523 0 0.1192479 0.2679125 0 0 0 0 0 0.1434623 0 0 0
BR301 0 0 0 0.8029545 0 0 0 0 0 0.1108811 0 0.08616432 0
BB01_124 0.4119548 0 0 0.386569 0 0 0 0 0 0 0 0.1090375 0
BR071 0.2335849 0 0 0.6953018 0 0 0 0 0 0 0.06150058 0 0
BB01_062 0.5413847 0.2413051 0.08690356 0.1304067 0 0 0 0 0 0 0 0 0
BB01_080 0.6611659 0 0 0 0 0 0 0 0 0.2552498 0 0 0
BR064 0 0 0 0.6839178 0 0 0.1190522 0 0.1495223 0 0 0 0
BR108 0 0 0 0.8094355 0 0 0 0 0 0 0 0.1266767 0
BR437 0.1760263 0 0.08996819 0.273837 0 0 0.2629576 0 0 0 0 0.07609984 0.06276079
BB01_041 0 0 0 0.59517 0 0 0.1058037 0 0 0.2815978 0 0 0
BR200 0.4620547 0 0 0.4190191 0 0.07603008 0 0 0 0 0 0 0
BB01_104 0 0.1011541 0.536179 0.3626669 0 0 0 0 0 0 0 0 0
BR089 0.3310887 0 0 0.4039336 0 0 0 0 0 0.2526329 0 0 0
BR017 0.4894591 0 0 0.3638591 0 0 0 0 0.07573318 0 0 0 0
BR164 0.3157321 0 0.170674 0.3228717 0.1147735 0 0.07594864 0 0 0 0 0 0
BR194 0.099981 0 0 0.6484777 0 0 0.07017501 0 0 0 0 0 0.1570306
BR088 0.1584826 0 0 0.6939847 0 0 0 0 0 0 0 0.06178665 0
