	Signature.1	Signature.2	Signature.13	Signature.3	Signature.8	Signature.5	Signature.18	Signature.17	Signature.6	Signature.15	Signature.20	Signature.26	Signature.30
SD0512 0.3041688 0.3830802 0.312751 0 0 0 0 0 0 0 0 0 0
SD0817 0.42984 0.3134155 0.2567444 0 0 0 0 0 0 0 0 0 0
SD1578 1 0 0 0 0 0 0 0 0 0 0 0 0
SD0356 0.2814795 0.2568475 0.4564307 0 0 0 0 0 0 0 0 0 0
SD0391 0.3877838 0.2259713 0.3862449 0 0 0 0 0 0 0 0 0 0
SD0436 0.3056301 0.3605562 0.3338137 0 0 0 0 0 0 0 0 0 0
SD0496 0.3797772 0.3780842 0.2421386 0 0 0 0 0 0 0 0 0 0
SD0449 0.3502155 0.2481913 0.2785387 0 0 0 0 0 0 0 0 0 0.07236967
SD0439 0.3893592 0.3722514 0.2383894 0 0 0 0 0 0 0 0 0 0
SD0216 0.2507768 0.1567874 0.1273318 0 0 0.3670742 0 0 0 0 0 0 0
SD0731 0.4495283 0.275734 0.2396486 0 0 0 0 0 0 0 0 0 0
SD0864 0.339764 0.4011088 0.2591272 0 0 0 0 0 0 0 0 0 0
SD0017 0.4323203 0.3181841 0.2420443 0 0 0 0 0 0 0 0 0 0
SD1255 0.4721985 0.3541698 0.1736317 0 0 0 0 0 0 0 0 0 0
SD0812 0.4674338 0 0 0.3258151 0.153944 0 0 0 0 0 0 0 0
SD1190 0.3645331 0 0.09556717 0.1827542 0.1561842 0 0 0 0 0.06853755 0 0.1248752 0
SD1373 0.3066084 0.2672456 0.198681 0.2166559 0 0 0 0 0 0 0 0 0
SD1123 0.4015423 0 0 0 0 0 0 0.5984577 0 0 0 0 0
SD0263 0.4995828 0.2780331 0.2223841 0 0 0 0 0 0 0 0 0 0
SD0824 0.1942787 0 0 0.5522068 0 0 0 0 0 0.162858 0 0 0
SD1571 0.4433999 0.3679305 0.1886696 0 0 0 0 0 0 0 0 0 0
SD0683 0.3205313 0 0.0829566 0.5628392 0 0 0 0 0 0 0 0 0
SD1064 0.316795 0.3721985 0.2447863 0 0 0 0 0 0 0 0 0 0
SD1051 0.4160693 0 0.06014149 0.4731193 0 0 0 0 0 0 0 0 0
SD1518 0.4787311 0 0 0.4236292 0 0.08693516 0 0 0 0 0 0 0
SD1240 0.2497746 0.1207351 0.183237 0.3369992 0 0 0 0 0 0.08313133 0 0 0
SD0128 0.4972873 0 0.06438066 0.310905 0 0 0 0 0.102638 0 0 0 0
SD0061 0.3485401 0.3377547 0.3008622 0 0 0 0 0 0 0 0 0 0
SD1389 0.6133193 0.2659355 0.1207452 0 0 0 0 0 0 0 0 0 0
SD0632 0.3670776 0.2074858 0.4254366 0 0 0 0 0 0 0 0 0 0
SD1349 0.2145577 0.1747881 0.2271557 0.340047 0 0 0 0 0 0 0 0 0
SD0757 0.2658016 0.1081989 0.09709809 0.4919969 0 0 0 0 0 0 0 0 0
SD0260 0.4242497 0.1234466 0.3138095 0.1384942 0 0 0 0 0 0 0 0 0
SD0454 0.3457795 0.200538 0.1863592 0.1630648 0 0 0.1042585 0 0 0 0 0 0
SD0876 0.5407967 0.2611752 0.1980281 0 0 0 0 0 0 0 0 0 0
SD0352 0.4607607 0.3000458 0.1622312 0.07696235 0 0 0 0 0 0 0 0 0
SD1013 0.5501243 0.1649496 0.2551443 0 0 0 0 0 0 0 0 0 0
SD0037 0.5011809 0.4118586 0.08696055 0 0 0 0 0 0 0 0 0 0
SD0905 0.388775 0.3217004 0.2424966 0 0 0 0 0 0 0 0 0 0
SD0278 0.4038095 0 0 0.4907973 0 0 0 0 0 0 0 0 0
SD1436 0.5232013 0 0.1726759 0.182805 0 0 0 0 0 0.06972919 0 0 0
SD0450 0.2393373 0 0 0.3216918 0 0.1802483 0 0 0.1300232 0 0 0 0
SD1103 0.6031107 0.1360786 0.2608107 0 0 0 0 0 0 0 0 0 0
SD1195 0.8160081 0.1699337 0 0 0 0 0 0 0 0 0 0 0
SD0164 0.4783997 0.343128 0.1784723 0 0 0 0 0 0 0 0 0 0
SD1521 0.3278234 0.2460892 0.4260874 0 0 0 0 0 0 0 0 0 0
SD0899 0.5263156 0.4612991 0 0 0 0 0 0 0 0 0 0 0
SD0507 0.6704552 0 0 0.322311 0 0 0 0 0 0 0 0 0
SD0028 0.3243708 0 0 0.4988512 0 0 0 0 0 0 0 0 0
SD0516 0.2892325 0.07140912 0 0.3520076 0 0.1722395 0.08375624 0 0 0 0 0 0
SD0863 0.4112619 0.5355429 0 0 0 0 0 0 0 0 0 0 0
SD1225 0.2839251 0.06481507 0.1187731 0.1341829 0 0.3983037 0 0 0 0 0 0 0
SD0457 0.4416165 0 0 0.2923042 0 0 0 0 0 0.1275766 0 0 0
SD0477 0.4106477 0.2358934 0.2480332 0 0 0 0 0 0 0.1054257 0 0 0
SD0970 0.283159 0.392396 0.2696795 0 0 0 0 0 0 0 0 0 0
SD1545 0.4414944 0.3217133 0.2367923 0 0 0 0 0 0 0 0 0 0
SD1062 0.3530343 0.2059954 0.2623123 0.06439398 0 0 0 0 0 0 0 0.114264 0
SD0375 0.6831009 0 0 0.3161697 0 0 0 0 0 0 0 0 0
SD0144 0.481712 0 0 0.4175636 0 0 0 0 0.06238976 0 0 0 0
SD0599 0.7103871 0 0.1045048 0 0 0 0 0 0 0.1252771 0 0 0
SD1431 0.3443052 0 0.2278866 0.226156 0 0 0.07455781 0 0 0.0986066 0 0 0
SD0126 0.2472485 0 0.1371239 0.5187462 0 0 0 0 0.0968814 0 0 0 0
SD1248 0.4831521 0 0 0.448623 0 0 0 0 0 0 0 0 0
SD0054 0.1212852 0 0.06572464 0 0 0.3226286 0 0 0.2072707 0.07264562 0 0 0
SD1184 0.3805315 0 0.08849405 0.4383462 0 0 0 0 0 0 0.06664384 0 0
