	Signature.1	Signature.2	Signature.13	Signature.3	Signature.8	Signature.5	Signature.18	Signature.17	Signature.6	Signature.15	Signature.20	Signature.26	Signature.30
PD23564a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD23579a 0.4939451 0 0 0 0 0 0 0 0.2906423 0 0 0.2154126 0
PD23561a 0.2526291 0.243605 0.3462565 0 0 0 0 0 0 0.1321911 0 0 0
PD24189a 0.6803787 0 0 0 0 0 0 0 0.2299028 0 0 0.08971844 0
PD24326a 0.23832 0.4299118 0.2883618 0 0 0 0 0 0 0 0 0 0
PD24201a 0.5226654 0 0 0.3336478 0.1091976 0 0 0 0 0 0 0 0
PD24320a 0.3392495 0 0 0 0 0 0 0 0 0 0 0.607562 0
PD24208a 0.3798677 0.3194281 0.3007041 0 0 0 0 0 0 0 0 0 0
PD24327a 0.4230636 0.2178655 0.3303841 0 0 0 0 0 0 0 0 0 0
PD24197a 0.2406987 0 0 0.4325375 0.2905516 0 0 0 0 0 0 0 0
PD24194a 0.3635249 0.2643758 0.3115435 0 0 0 0 0 0 0 0 0 0
PD24192a 0.2302417 0 0.08233004 0.3779651 0 0.3094631 0 0 0 0 0 0 0
PD24217a 0.0941001 0.2594827 0.6272032 0 0 0 0 0 0 0 0 0 0
PD24209a 0.3488819 0.186224 0.3447289 0.1201652 0 0 0 0 0 0 0 0 0
PD23574a 0.2466593 0 0.1551695 0.5334044 0 0 0 0 0 0 0 0 0
PD24193a 0.838934 0 0 0 0 0 0 0 0 0 0 0.1500972 0
PD24333a 0.3210678 0.1470469 0 0 0 0 0 0.461 0 0 0 0 0
PD23558a 0.4192745 0 0.07092449 0.2726738 0.1736973 0 0 0 0 0 0 0 0
PD24182a 0.3366261 0 0.138318 0.4535594 0 0 0 0 0 0 0 0 0
PD22355a 0.5676609 0 0 0.390001 0 0 0 0 0 0 0 0 0
PD22366a 0.2726874 0 0.1528783 0.3851428 0 0 0 0 0 0 0 0.1236621 0
PD22363a 0.1570575 0 0 0.6659065 0 0 0 0 0 0 0 0.1186118 0
