	Signature.1	Signature.2	Signature.13	Signature.3	Signature.8	Signature.5	Signature.18	Signature.17	Signature.6	Signature.15	Signature.20	Signature.26	Signature.30
PD13604a 0.2710999 0.3636664 0.3387418 0 0 0 0 0 0 0 0 0 0
PD5937a 0.6370614 0.1920671 0.1066926 0 0 0 0 0 0.06417884 0 0 0 0
PD9063a 0.3487177 0.4337541 0.2175282 0 0 0 0 0 0 0 0 0 0
PD4977a 0.3567133 0.40284 0.2404467 0 0 0 0 0 0 0 0 0 0
PD13425a 0.3429976 0.1430397 0.3644982 0.1177209 0 0 0 0 0 0 0 0 0
PD6405a 0.296434 0.1141726 0.5443267 0 0 0 0 0 0 0 0 0 0
PD9568a 0.3298928 0 0.06433675 0.5647809 0 0 0 0 0 0 0 0 0
PD6412a 0.5881649 0 0 0 0 0 0 0 0.06720852 0.1810573 0 0.1635693 0
PD8832a 0.267517 0 0 0.6102106 0 0 0 0 0 0 0 0 0
PD4607a 0.1624149 0.4660167 0.3189915 0 0 0 0 0 0 0 0 0 0
PD4072a 0.1645539 0.3050703 0.5051067 0 0 0 0 0 0 0 0 0 0
PD11379a 0.2787569 0.2873931 0.3151188 0.1187313 0 0 0 0 0 0 0 0 0
PD8660a2 0.4001563 0 0.09422805 0.3866427 0 0.08451641 0 0 0 0 0 0 0
PD8982a 0.3245351 0 0.2090301 0.3879093 0 0 0 0 0 0 0 0 0
PD18045a 0.5834196 0.1003864 0.2884299 0 0 0 0 0 0 0 0 0 0
PD6043a 0.260247 0.2224217 0.2760752 0.2322584 0 0 0 0 0 0 0 0 0
PD9009a 0.422382 0.1320475 0.3586775 0.08689291 0 0 0 0 0 0 0 0 0
PD13296a 0.3432735 0 0.06939927 0.5075981 0 0 0 0 0 0 0 0 0
PD11751a 0.3692135 0 0.07905489 0.5472897 0 0 0 0 0 0 0 0 0
PD7426a 0.2642631 0 0.2349348 0.4213975 0 0 0 0 0 0.07940468 0 0 0
PD11372a 0.3650303 0.2685106 0.3542631 0 0 0 0 0 0 0 0 0 0
PD11465a 0.5513333 0.1693785 0.1887955 0.09049276 0 0 0 0 0 0 0 0 0
PD18020a 0.2967411 0 0.1681409 0.4515805 0 0 0 0 0.06060533 0 0 0 0
PD13297a 0.1735146 0 0.08875346 0.1661673 0 0 0 0 0 0.1188284 0 0 0.407548
PD9576a 0.4081135 0 0 0.437907 0 0.07030096 0 0 0 0 0 0.07341499 0
PD8980a 0.4207154 0 0 0.3343595 0.1554408 0 0 0 0 0 0 0 0
PD11365a 0.38025 0 0 0 0 0 0 0 0 0.123968 0 0.4687104 0
PD8652a2 0.3808658 0 0 0.5166574 0 0 0 0 0 0 0 0 0
PD6684a 0.1740314 0 0.1391565 0.6264091 0 0 0 0 0 0 0 0 0
PD7219a 0.2978791 0.2649606 0.3313908 0.1057696 0 0 0 0 0 0 0 0 0
PD7428a 0.3400073 0 0 0.5068378 0 0 0 0 0 0.1152524 0 0 0
PD11327a 0.1763937 0 0 0.6290871 0 0 0 0 0 0 0 0.07244766 0
PD5948a 0.3636405 0 0 0.4306014 0 0 0 0 0 0 0 0.1496416 0
PD4844a 0.4039052 0 0 0.3536389 0.07330184 0 0 0 0 0 0 0.09283892 0
PD13771a 0.3715207 0 0.09248318 0.2331562 0.08777604 0.1638453 0 0 0 0 0 0 0
PD9064a 0.1805416 0 0 0.4417125 0.1263487 0.06736604 0 0 0.07199418 0 0 0 0
PD11748a 0.4018311 0 0 0.5525596 0 0 0 0 0 0 0 0 0
PD6722a 0.2497737 0.1239166 0.3468761 0.2486629 0 0 0 0 0 0 0 0 0
PD7248a 0.3065096 0 0.06449771 0.5426296 0 0 0 0 0 0 0 0.08349266 0
PD9004a 0.3731754 0 0.08541731 0.5089642 0 0 0 0 0 0 0 0 0
PD4952a 0.4589121 0 0.1002369 0.06447701 0.1622553 0.2141187 0 0 0 0 0 0 0
PD4956a 0.2370075 0 0.07294842 0.6019667 0 0 0 0 0 0 0 0 0
PD9604a 0.3184314 0 0 0 0 0 0 0 0 0 0 0.6815686 0
PD11344a 0.4166496 0.3016291 0.2799542 0 0 0 0 0 0 0 0 0 0
PD13299a 0.1932668 0.07379255 0.2874408 0.3823119 0 0 0 0 0 0 0 0 0
PD8964a 0.3549239 0 0 0.4406191 0 0.1092071 0 0 0 0 0 0 0
PD10014a 0.3745009 0 0 0.5563608 0 0 0 0 0 0 0 0 0
PD7307a 0.449719 0.1582992 0.338738 0 0 0 0 0 0 0 0 0 0
PD18024a 0.3003785 0 0 0.5587337 0 0 0 0 0 0 0 0 0
PD11750a 0.1922384 0 0.2195563 0.5561506 0 0 0 0 0 0 0 0 0
PD18247a 0.3911148 0.2552132 0.353672 0 0 0 0 0 0 0 0 0 0
PD5934a 0.2574229 0 0 0.7123046 0 0 0 0 0 0 0 0 0
PD4109a 0.6859886 0 0.1153061 0.1289726 0 0 0 0 0 0 0 0 0
PD6730b 0.4121162 0 0 0.5004065 0 0 0 0 0 0 0 0 0
PD8984a 0.3345327 0 0.08946973 0.5027659 0 0 0 0 0 0 0 0 0
PD5935a 0.4423233 0 0.07349716 0.4776562 0 0 0 0 0 0 0 0 0
PD9592a 0.3333788 0 0 0.6267713 0 0 0 0 0 0 0 0 0
PD9595a 0.4454719 0 0 0.4528651 0 0 0 0 0 0 0 0 0
PD6731a2 0.2555342 0.150277 0.1972115 0.3330834 0 0 0 0 0 0 0 0.06389382 0
PD11345a 0.5656598 0.3101716 0.07093693 0 0 0 0 0 0 0 0 0 0
PD7217a 0.4116854 0 0.07633249 0.1951794 0.1030958 0.1677941 0 0 0 0 0 0 0
PD9000a 0.4556757 0 0 0.3559651 0.09509882 0 0 0 0 0 0 0 0
PD4199a 0.4766096 0.2558616 0.2447073 0 0 0 0 0 0 0 0 0 0
PD4847a 0.7533418 0 0 0.2324573 0 0 0 0 0 0 0 0 0
PD9585a 0.4146902 0 0 0.3324692 0.1016154 0 0 0 0 0 0 0 0
PD13753a 0.463408 0.1975867 0.2496139 0.08939137 0 0 0 0 0 0 0 0 0
PD4874a 0.305875 0.08385685 0.183103 0.398229 0 0 0 0 0 0 0 0 0
PD5932a 0.2153049 0 0.09124846 0.5767053 0 0.06045514 0 0 0 0 0 0 0
PD4006a 0.4492047 0 0 0.4887957 0 0 0 0 0 0 0 0 0
PD11367a 0.4662924 0 0 0.3826137 0 0 0 0 0.08839678 0 0 0 0
PD8830a 0.3629647 0 0 0.4254279 0 0 0 0 0.1476173 0 0 0 0
PD11326a 0.233087 0 0.07714896 0.5570746 0 0 0 0 0 0.1326895 0 0 0
PD4958a 0.3464617 0 0 0.2021805 0.2297656 0 0 0 0 0.1192878 0 0 0
PD13625a 0.7742852 0 0 0 0 0 0 0 0 0.1564051 0 0 0
PD14453a 0.6064685 0.09493868 0.1782029 0.12039 0 0 0 0 0 0 0 0 0
PD7211a 0.4389923 0 0 0.4352955 0 0.0667865 0 0 0 0 0 0 0
PD3945a 0.3097968 0 0 0.06367872 0.5193235 0 0 0 0 0 0 0 0
PD18264a 0.5179369 0.3386595 0.1434036 0 0 0 0 0 0 0 0 0 0
PD8995a 0.6903352 0.191972 0.1176928 0 0 0 0 0 0 0 0 0 0
PD13418a 0.683014 0.08389694 0.1896607 0 0 0 0 0 0 0 0 0 0
PD5925a 0.1838032 0 0.1453609 0.6036552 0 0 0 0 0 0 0 0 0
PD13627a 0.3867481 0 0 0.5444214 0 0 0 0 0 0 0 0 0
PD4115a 0.2054304 0 0 0.4964904 0 0 0 0 0 0.1006618 0 0.07935506 0
PD6047a 0.8784458 0 0 0.08868158 0 0 0 0 0 0 0 0 0
PD6409a 0.2161269 0 0.09769402 0.6189316 0 0 0 0 0 0.06724748 0 0 0
PD6415a 0.4810878 0 0.1323086 0.3725021 0 0 0 0 0 0 0 0 0
PD8621a 0.4263452 0 0 0.5179594 0 0 0 0 0 0 0 0 0
PD4975a 0.4625512 0 0 0.5374488 0 0 0 0 0 0 0 0 0
PD17981a 0.9693385 0 0 0 0 0 0 0 0 0 0 0 0
PD4116a 0.4210036 0 0 0.4860334 0 0 0 0 0 0 0 0 0
PD7250a 0.3692393 0 0 0.611557 0 0 0 0 0 0 0 0 0
PD9702a 0.3212319 0 0.1206851 0.5410965 0 0 0 0 0 0 0 0 0
PD11742a 0.355901 0 0.08862819 0.3735484 0 0 0 0 0 0 0 0 0.09114441
PD5945a 0.1975998 0 0 0.6326698 0 0 0 0 0 0 0 0.1171477 0
PD4604a 0.6454733 0 0.06483833 0.2158199 0.07386845 0 0 0 0 0 0 0 0
PD4107a 0.3147151 0 0 0.5509904 0 0 0 0 0 0 0 0 0
PD6727b 0.9416238 0 0 0 0 0 0 0 0 0 0 0 0
PD13298a 0.7883198 0 0 0.07189479 0 0 0 0 0 0 0 0 0
PD7205a 0.7469982 0 0.1572051 0 0 0 0 0 0 0 0 0 0
PD7215a 0.4773447 0.08031977 0.1591821 0.1060491 0 0.1467223 0 0 0 0 0 0 0
