	Signature.1	Signature.2	Signature.13	Signature.3	Signature.8	Signature.5	Signature.18	Signature.17	Signature.6	Signature.15	Signature.20	Signature.26	Signature.30
TCGA-A1-A0SK 0.8611687 0 0 0.08096741 0 0 0 0 0 0 0 0 0
TCGA-C8-A12K 0.576539 0 0.1681711 0.2552898 0 0 0 0 0 0 0 0 0
TCGA-C8-A12V 0.6094968 0 0 0 0 0 0 0.09730324 0 0 0.2932 0 0
TCGA-C8-A131 0.7657446 0.09659614 0 0 0 0 0 0 0 0.09471864 0 0 0
TCGA-C8-A134 0.2545704 0 0 0.4439695 0.1673064 0 0.08467165 0 0 0 0 0 0
TCGA-AO-A03L 0.6596811 0 0 0 0 0.2369885 0 0.07799789 0 0 0 0 0
TCGA-C8-A12L 0.7290058 0 0 0.2709942 0 0 0 0 0 0 0 0 0
TCGA-C8-A12P 0.5862665 0.2179225 0.1750513 0 0 0 0 0 0 0 0 0 0
TCGA-C8-A12Q 0.5016856 0.2272825 0.1666135 0 0 0 0.1044184 0 0 0 0 0 0
TCGA-C8-A12T 0.445637 0.2760412 0.2783217 0 0 0 0 0 0 0 0 0 0
TCGA-C8-A12Z 0.8380105 0.1015914 0.06039815 0 0 0 0 0 0 0 0 0 0
TCGA-C8-A130 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-C8-A135 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-C8-A137 0.8763111 0.07342325 0 0 0 0 0 0 0 0 0 0 0
TCGA-C8-A138 0.8322603 0 0 0 0 0 0.1677397 0 0 0 0 0 0
TCGA-C8-A1HF 0.5483417 0.1300014 0 0.1191916 0 0 0 0 0 0.1440438 0 0 0
TCGA-A2-A0CV 0.4059506 0 0 0 0 0 0 0 0 0.5940494 0 0 0
TCGA-AO-A126 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AR-A1AS 0.6168925 0.1732899 0 0 0 0 0 0 0 0.2098175 0 0 0
TCGA-C8-A12N 0 0 0 0.2837293 0 0 0.08451487 0 0.2880339 0 0 0.2824164 0.06130551
TCGA-C8-A12O 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-C8-A12Y 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-C8-A132 0.4722217 0 0.18597 0 0 0.2996117 0 0 0 0 0 0 0
TCGA-C8-A1HI 0.9666744 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-BH-A0HW 0.1240692 0 0 0 0 0 0 0 0.5189968 0.356934 0 0 0
TCGA-C8-A12M 0.9098303 0 0 0.07490601 0 0 0 0 0 0 0 0 0
TCGA-C8-A12U 0.9655178 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-C8-A12W 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-C8-A12X 0.5803745 0 0 0 0 0 0 0 0.3472671 0 0 0 0
TCGA-C8-A1HG 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-C8-A1HL 0.3516461 0 0 0 0 0.1487922 0.1038995 0 0.1689963 0.210466 0 0 0
TCGA-C8-A1HM 0.366787 0.1840298 0.4280802 0 0 0 0 0 0 0 0 0 0
TCGA-C8-A1HN 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-C8-A1HE 0.4176895 0.3647117 0 0 0 0 0 0 0 0.1110016 0 0 0.06648713
TCGA-C8-A1HJ 0 0 0 0.6968832 0 0 0 0 0.205262 0 0 0 0
TCGA-C8-A1HK 0.5377973 0.06588488 0.2541441 0 0 0 0 0 0 0.122235 0 0 0
TCGA-C8-A1HO 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-C8-A26V 0.2553407 0.1773563 0.2728667 0.1385 0 0 0 0 0 0.1559363 0 0 0
TCGA-C8-A26W 0.3431204 0.2093227 0.08571491 0 0 0.1272824 0 0 0 0.1458122 0 0.08874738 0
TCGA-C8-A26X 0.4070664 0 0 0 0 0.1796348 0.0818328 0 0.2428489 0 0 0 0
TCGA-C8-A26Y 0.2307833 0.3263486 0.292178 0.09730933 0 0 0 0 0 0 0 0 0
TCGA-C8-A26Z 0.8729886 0 0 0 0 0 0 0 0 0.1219877 0 0 0
TCGA-C8-A273 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-C8-A274 0.3664141 0.322481 0.2480409 0 0 0 0 0 0 0 0 0 0
TCGA-C8-A275 0.2465777 0.1893681 0.3251035 0.1115786 0 0 0 0 0 0 0 0 0.1152145
TCGA-C8-A278 0.9516526 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-C8-A27A 0.9719234 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-C8-A27B 0.2448065 0 0.2672675 0.3259769 0 0 0 0 0 0.111519 0 0 0
TCGA-EW-A1IX 0 0.2857466 0.2662945 0 0 0 0.1422374 0 0 0.09045123 0 0.07115652 0.1441137
TCGA-EW-A1IY 0.6666679 0.1832463 0.08214047 0 0 0 0 0 0 0 0.06794536 0 0
