	Signature.1	Signature.2	Signature.13	Signature.3	Signature.8	Signature.5	Signature.18	Signature.17	Signature.6	Signature.15	Signature.20	Signature.26	Signature.30
TCGA-A1-A0SB 0.9933387 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-A1-A0SD 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-A1-A0SE 0.3899852 0.08252167 0 0 0 0.3415201 0 0 0 0.1364367 0 0 0
TCGA-A1-A0SF 0.1117009 0.3716585 0 0 0 0 0 0 0 0.5166406 0 0 0
TCGA-A1-A0SG 0.7260274 0 0 0 0 0.2575284 0 0 0 0 0 0 0
TCGA-A1-A0SH 0 0.2032432 0.2518834 0.3130983 0 0 0.07655527 0 0.1329986 0 0 0 0
TCGA-A1-A0SI 0.2426252 0.2727942 0.3846911 0.08746388 0 0 0 0 0 0 0 0 0
TCGA-A1-A0SN 0.5771926 0.1002528 0.1151494 0 0 0.1342012 0 0 0 0 0 0 0
TCGA-A1-A0SQ 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-A2-A04N 0.6816105 0.08942319 0 0 0.2124188 0 0 0 0 0 0 0 0
TCGA-A2-A04T 0.1811971 0 0 0.5713552 0 0 0.07136439 0 0 0 0 0 0.09076035
TCGA-A2-A04U 0.9292342 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-A2-A04V 0.9661012 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-A2-A04W 0.4456145 0.2472733 0.2303308 0 0 0 0 0 0 0 0 0 0
TCGA-A2-A04X 0.56805 0.3286141 0 0.07918936 0 0 0 0 0 0 0 0 0
TCGA-A2-A04Y 0.3256987 0 0.102437 0.09988855 0 0.3937895 0.07818623 0 0 0 0 0 0
TCGA-A2-A0CK 0.6946274 0 0 0 0 0 0 0 0 0.3053726 0 0 0
TCGA-A2-A0CO 0.8204707 0 0 0 0 0 0 0 0.135881 0 0 0 0
TCGA-A2-A0CP 0.314441 0 0 0 0 0 0 0 0 0.6006722 0 0 0
TCGA-A2-A0CS 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-A2-A0CT 0.8673469 0.07488233 0 0 0 0 0 0 0 0 0 0 0
TCGA-A2-A0CU 0.8244457 0 0 0.1703064 0 0 0 0 0 0 0 0 0
TCGA-A2-A0CW 0.8040177 0.1521268 0 0 0 0 0 0 0 0 0 0 0
TCGA-A2-A0CX 0.4415051 0.370871 0.1806902 0 0 0 0 0 0 0 0 0 0
TCGA-A2-A0D1 0.9379817 0.06201826 0 0 0 0 0 0 0 0 0 0 0
TCGA-A2-A0D2 0.308449 0 0.06194101 0.4845082 0 0 0 0 0 0 0 0.1451017 0
TCGA-A2-A0D3 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-A2-A0EM 0.4861994 0 0 0 0 0 0 0 0.1624006 0.1741255 0 0 0.1284726
TCGA-A2-A0EN 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-A2-A0EO 0.570893 0 0 0 0 0 0 0 0 0.2131623 0 0 0.2159447
TCGA-A2-A0ER 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-A2-A0ET 0.7934073 0 0 0 0 0 0 0 0 0.1555268 0 0 0
TCGA-A2-A0EU 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-A2-A0EV 0.4741875 0.08550548 0 0 0 0 0 0 0 0 0 0.161205 0.2272601
TCGA-A2-A0EX 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-A2-A0EY 0.5844361 0.313074 0.1024899 0 0 0 0 0 0 0 0 0 0
TCGA-A2-A0SU 0.09727952 0 0 0 0 0 0 0 0 0.9027205 0 0 0
TCGA-A2-A0SV 0.5686119 0 0 0 0 0.2516124 0 0 0 0.1797757 0 0 0
TCGA-A2-A0SW 0.8881647 0.06851449 0 0 0 0 0 0 0 0 0 0 0
TCGA-A2-A0SX 0.3848681 0 0 0 0 0 0.1097469 0 0 0.4605148 0 0 0
TCGA-A2-A0SY 0.4586371 0.1997436 0.3416193 0 0 0 0 0 0 0 0 0 0
TCGA-A2-A0T0 0.2952247 0 0 0.4806682 0 0 0 0 0 0 0 0.09531279 0
TCGA-A2-A0T2 1 0 0 0 0 0 0 0 0 0 0 0 0
