Input.Sample	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P.value	Pearson.Correlation	RMSE	Type	Input.Sample	Alt_ID	Cohort						
BB01_002	0.004076392	0	0.001045711	0.032231338	0	0.158260829	0	0.067541729	0.009336748	0	0.010392608	0.057332721	0.01803233	0.039562304	0.084585886	0.424732214	0.004896409	0	0.087972782	0	0	0	0	0.406591755	0.913737859	Kan	BB01_002	BB01_002	Kan						
BB01_004	0.031344737	0.063671623	0	0.116191988	0	0.255570052	0.029752761	0.083168792	0.002590516	0.018423348	0	0.015290014	0.009835429	0.019904575	0.16072795	0.184342763	0	0	0.009185452	0	0	0	0	0.521635531	0.853430576	Kan	BB01_004	BB01_004	Kan						
BB01_005	0.006103116	0.006090582	0.02738591	0.119884245	0	0.236996432	0	0.063224074	4.00E-04	0.003586311	0	0.030913148	0.036497104	0.036692651	0.077792443	0.318229587	0.00404518	0	0.028428982	0	0	0.003733547	0	0.390783433	0.920858823	Kan	BB01_005	BB01_005	Kan						
BB01_006	9.00E-04	0	0	0.061838461	0	0.159533956	0	0.021674765	8.00E-04	0	0	0.01991133	0.070736813	0	0.053338435	0.549356374	0	0	0.061926218	0	0	0	0	0.43886331	0.899138372	Kan	BB01_006	BB01_006	Kan						
BB01_007	0	0	5.00E-04	0.075167531	0	0.166371432	0	0.044096871	0	0	0	0.025582005	0.026159505	0.03738577	0.054505516	0.397401867	0	0	0.170511949	0	0	0.002297326	0	0.445411455	0.89477945	Kan	BB01_007	BB01_007	Kan						
BB01_008	0.016613629	0	2.00E-04	0.108869829	0	0.165250348	0	0.04428075	0.003451315	0	0	0.016149562	1.00E-04	0.053573344	0.060511598	0.320396955	0.00180552	0	0.207767625	0	0	0.001019042	0	0.455880959	0.889702711	Kan	BB01_008	BB01_008	Kan						
BB01_009	0.032779156	0	0.019061669	0.130040285	0	0.274910257	0	0.034078387	0	0.008899071	0	0.012473874	0.001012047	0	0.113624456	0.254671269	0.037719933	0	0.080729596	0	0	0	0	0.387933915	0.922126196	Kan	BB01_009	BB01_009	Kan						
BB01_010	2.00E-04	0	0.007948194	0.143474895	0	0.099410903	0	0.111401192	0.013872387	0	0	0.050048174	0.010195936	0	0.081590955	0.312237243	0.011739649	0	0.157910024	0	0	0	0.001	0.295850186	0.963008184	Kan	BB01_010	BB01_010	Kan						
BB01_011	0.038901295	0	0.048006002	0.134802729	0	0.251197139	0	0.049421085	0	0	0	0.01772785	0.025293617	0	0.059444915	0.238305227	0.029494775	0	0.107405367	0	0	0	0	0.356804359	0.934923016	Kan	BB01_011	BB01_011	Kan						
BB01_012	0.008951107	0	0	0.002137552	0	0.176955723	0	0.035569846	0	0	0.003335041	0	0	0.14610227	0.045582614	0.467129149	0	0	0.114236698	0	0	0	0	0.388641953	0.927706207	Kan	BB01_012	BB01_012	Kan						
BB01_013	0.02885534	0	0.04443852	0.040883232	0	0.130504312	0	0.050199733	0	0	0.006766733	0	0.067375446	0	0.038805987	0.455833389	0	0	0.136337308	0	0	0	0	0.449579016	0.892953927	Kan	BB01_013	BB01_013	Kan						
BB01_014	0	0	2.00E-04	0	0	0.082293289	0	0.027787694	0	0	0.008344738	0.0071381	0	0.352291626	0.011538644	0.495904173	0.005532463	0	0	0.009017458	0	0	0	0.360341732	0.97725651	Kan	BB01_014	BB01_014	Kan						
BB01_015	0.030164828	0	0.010635792	0.108935611	0	0.26188864	0	0.030652627	0.016860901	0	0	0	0.001587016	0.066118652	0.087238284	0.25740564	0.01432481	0	0.109029406	0	0	0.005157794	0.001	0.301755306	0.960945656	Kan	BB01_015	BB01_015	Kan						
BB01_016	0.001557329	0.089971548	0.005166267	0.100792949	0	0.211850449	0.002160288	0.064756739	0.015622233	0	0	0.017106177	0.002022245	0.133500226	0.130108345	0.209303123	0	0	0.016082082	0	0	0	0	0.366342465	0.934008504	Kan	BB01_016	BB01_016	Kan						
BB01_017	0.023611726	0	0.009017011	0.061390565	0	0.165449468	0	0.046261561	0	0	0	0.028529138	0.041561688	0	0.047931882	0.431015095	0.007177297	0.001296307	0.119653007	0.005686776	0	0.011418479	0.015	0.231825419	0.992111917	Kan	BB01_017	BB01_017	Kan						
BB01_018	0.010047182	4.00E-04	0.037014945	0.097133322	0	0.148160038	0.016384075	0.043523157	0.003740854	0	0	0.009102328	0.027627722	0.107753522	0.057959117	0.377199828	0.009577515	0	0.054352534	0	0	0	0	0.383086898	0.924989661	Kan	BB01_018	BB01_018	Kan						
BB01_019	0.003648262	0.013192521	0	0.026804819	0	0.038262741	0	0.075605714	0.029164386	5.00E-04	0	0.007058021	0	0.302905446	0.056179159	0.330969679	0	0	0.11574172	0	0	0	0	0.345761604	0.956333262	Kan	BB01_019	BB01_019	Kan						
BB01_022	0.016236652	0.008853046	0	0.16381979	0	0.18479765	0.044733269	0.087173825	0.007363848	0	0	0.006075261	0.021664016	0.037421024	0.097911168	0.211706475	0.06411122	0	0.048132757	0	0	0	0	0.413489581	0.909795896	Kan	BB01_022	BB01_022	Kan						
BB01_023	0.008332601	0.001311561	0	0.145796528	0	0.181752325	0	0.091456329	0	0.002566459	0	0.046839821	0.013439338	0.008201223	0.121374121	0.240940436	0.019895583	0	0.118093675	0	0	0	0	0.325316424	0.951736559	Kan	BB01_023	BB01_023	Kan						
BB01_024	0.019711233	0.047749736	0	0.099036698	0	0.1665127	0.004986466	0.112977148	0	0.010029728	0	0.066017054	0.034392095	0	0.150003559	0.187052844	0.009785164	0	0.088570402	0	0.003175174	0	0	0.426956414	0.903555882	Kan	BB01_024	BB01_024	Kan						
BB01_026	0.031107709	0	0.040044436	0.092996958	0	0.162247064	0.073753621	0.103380538	0.008324407	0.018194409	0	0.011118392	0	0.053354032	0.11272214	0.236365937	0.033764351	0.004933083	0	0.013397153	0.00429577	0	0.001	0.27989677	0.969841557	Kan	BB01_026	BB01_026	Kan						
