Log_PyClone_Clusters	ESTIMATE_ImmuneScore
5.169925001	149.6891999
4.247927513	529.9471066
2	941.966805
4	1090.837873
3.169925001	1111.646664
5.321928095	1323.159173
2	1384.097823
4.807354922	1410.154615
4.169925001	1412.44412
1	1433.734424
2.584962501	1445.019351
3.807354922	1504.649165
5.087462841	1505.521346
5.64385619	1508.098575
3	1600.599373
3.807354922	1766.844265
1.584962501	1775.818129
4.523561956	1789.017064
4.087462841	1891.90573
4.169925001	1956.777759
2.321928095	1972.856649
3.459431619	2035.246838
1.584962501	2042.730672
3.807354922	2048.782001
6.459431619	2058.288228
4.700439718	2063.714269
3.906890596	2116.743137
3.169925001	2121.560914
3.584962501	2141.749881
2.807354922	2175.822361
3.459431619	2189.138357
3.807354922	2198.369649
3	2215.373874
4	2220.289853
5.087462841	2233.869746
3.321928095	2280.115633
3.906890596	2308.05593
3.459431619	2309.299638
3.584962501	2316.063393
4.169925001	2319.254464
3.169925001	2320.90676
4.247927513	2324.608076
4.754887502	2337.280986
4.523561956	2358.626105
4.459431619	2361.777896
4.247927513	2365.62079
5.209453366	2366.98922
2.584962501	2372.134495
4.321928095	2375.24132
4.857980995	2380.454673
3	2405.892787
4.584962501	2406.246092
2.321928095	2421.722307
4.392317423	2430.476031
4.169925001	2433.661049
1.584962501	2455.468214
3.169925001	2460.893136
3.807354922	2461.177236
4	2488.208881
4.392317423	2510.556341
4.087462841	2518.162041
2.321928095	2542.046548
4.906890596	2553.692689
4.087462841	2558.08065
4.392317423	2577.312066
4	2579.060434
3	2584.206265
4.321928095	2600.220917
2.321928095	2615.355549
3.321928095	2615.355549
4.64385619	2618.476447
4.169925001	2629.369149
6.794415866	2634.849507
4.247927513	2635.894035
4.392317423	2661.437252
4.321928095	2662.898171
3.321928095	2665.732221
4.523561956	2667.878507
4.807354922	2684.862725
4.392317423	2704.223434
3.584962501	2706.111665
3	2708.051913
4.392317423	2715.907967
3	2762.728756
3.459431619	2768.102723
4	2774.676011
4.807354922	2803.690237
3	2809.623846
2	2825.176308
6.247927513	2829.530863
3.700439718	2854.130279
5.129283017	2861.076243
3.807354922	2867.296317
3.807354922	2869.420489
3.321928095	2875.609966
4.459431619	2887.491073
5.247927513	2889.348217
5.523561956	2890.484263
4.584962501	2895.261042
3.807354922	2895.605487
1.584962501	2896.605497
3.807354922	2908.033295
3.700439718	2921.235343
4.087462841	2934.74521
3.169925001	2937.048232
3.700439718	2943.432939
4.906890596	2964.929292
4.857980995	2967.250257
3.459431619	2988.69538
